,STOCK,SMB
1393,NXDT,-0.405962073
1980,UVV,-0.402813267
1683,SCS,-0.402378404
774,FRBA,-0.402057421
118,ARL,-0.401193762
1626,RLJ,-0.40117128
1578,PYN,-0.400526476
1090,KEY,-0.400050146
723,FF,-0.399919492
942,HOMB,-0.399371228
889,GWW,-0.398667343
1892,TRGP,-0.397796424
2104,ZBRA,-0.397327692
492,CXW,-0.397284223
1831,TBNK,-0.397090984
2092,WY,-0.397037706
2052,WILC,-0.39491742
1910,TSLA,-0.393815886
324,CCK,-0.393809258
1752,SNT,-0.392823017
1984,VALU,-0.392520071
939,HOG,-0.391462562
1535,PNF,-0.390588932
1770,SPTN,-0.390183351
1264,MOFG,-0.389160913
847,GLBZ,-0.388663927
408,CNS,-0.387428771
2080,WSR,-0.386652094
673,EVR,-0.386614417
49,AGNC,-0.386143496
1777,SRDX,-0.386100887
1685,SCVL,-0.385542732
1519,PLAB,-0.38323802
1289,MTB,-0.380540981
161,AX,-0.379744011
203,BFH,-0.379093211
1046,ITT,-0.378487563
715,FDP,-0.377060462
1249,MLR,-0.376524718
1129,LCNB,-0.375670706
1960,UNTY,-0.374763677
1448,OXM,-0.374209644
200,BELFB,-0.373248266
1238,MIDD,-0.371162038
240,BMO,-0.371120119
997,IDXX,-0.370614539
1781,SSD,-0.369776625
1803,STWD,-0.369474872
1411,OFG,-0.36844823
883,GSM,-0.368059152
1171,LULU,-0.36784339
2005,VMI,-0.367350045
1822,TACT,-0.366309585
434,CPSH,-0.366094072
900,HBNC,-0.365791161
1532,PMT,-0.365249218
920,HIFS,-0.365224245
753,FMNB,-0.364905131
973,HVT,-0.364870748
956,HSII,-0.364626552
1091,KF,-0.362678515
493,CYD,-0.362159622
1195,MATX,-0.360808433
1452,PAA,-0.360514093
1197,MBWM,-0.358978472
250,BOSC,-0.358600652
1653,RYN,-0.358149971
1272,MPWR,-0.357597252
77,AMCX,-0.357258324
479,CVLY,-0.356211154
1097,KGEI,-0.355521458
166,AYI,-0.355449555
162,AXON,-0.355422897
2048,WGO,-0.354819593
1518,PKX,-0.354703732
1165,LRCX,-0.354689711
1062,JEF,-0.353519541
182,BBW,-0.35332697
1397,NYCB,-0.352562847
2103,ZBH,-0.352441577
2017,VSEC,-0.351583792
1537,PNI,-0.351461061
718,FDX,-0.351177651
180,BBSI,-0.350629063
214,BH,-0.350509713
155,AVT,-0.349885617
1786,STAA,-0.349518339
232,BLE,-0.348657669
725,FFBC,-0.347373864
1861,THR,-0.347060891
995,IDR,-0.346572069
2049,WHG,-0.346236777
949,HQI,-0.346124062
1016,INBK,-0.345153283
1054,JAZZ,-0.344738228
1407,OCUP,-0.344716415
1793,STK,-0.343334715
1415,OII,-0.342966875
1990,VEON,-0.34206851
685,EXPD,-0.340702203
1200,MCHP,-0.340557781
61,AKR,-0.340137423
974,HWBK,-0.339692568
457,CSPI,-0.338947094
693,FAF,-0.335748092
1967,USB,-0.335368943
981,IAF,-0.335345673
169,AZZ,-0.335311266
1365,NS,-0.335012248
1559,PRI,-0.334814524
20,ACNB,-0.334069113
418,COO,-0.333485463
386,CM,-0.333135728
1582,QCRH,-0.332743533
1678,SCD,-0.332461135
2050,WHLM,-0.33151361
1988,VCV,-0.331138495
1075,JOE,-0.330949451
1475,PCYO,-0.329899135
508,DCOM,-0.329111025
923,HIMX,-0.328524127
2019,VTN,-0.327665146
710,FCNCA,-0.327591727
1965,URI,-0.327573117
1000,IFF,-0.327419943
474,CVCO,-0.327389562
983,IART,-0.327381989
556,DSM,-0.327198375
1961,UONE,-0.326520197
941,HOLX,-0.326369558
1533,PMX,-0.32626081
852,GLW,-0.326022454
866,GPI,-0.325885975
1120,KYN,-0.325828973
1606,RELL,-0.325529815
1235,MHI,-0.32539972
117,ARI,-0.323830345
273,BVFL,-0.3237933
2094,X,-0.323626565
872,GRC,-0.323577845
874,GRFS,-0.323191152
758,FNB,-0.322897981
1142,LH,-0.32257641
387,CMA,-0.322406787
217,BHLB,-0.322387914
62,AL,-0.321875846
1188,MANH,-0.321570306
1738,SM,-0.321094494
1058,JBT,-0.320865553
1879,TNC,-0.319950548
1099,KKR,-0.319746185
1946,UHAL,-0.319438788
1998,VKI,-0.319221271
781,FRT,-0.319050803
1395,NXPI,-0.318733867
776,FRD,-0.318733842
820,GEL,-0.31809785
215,BHB,-0.317906522
216,BHE,-0.317625776
1679,SCHL,-0.316314437
370,CIVB,-0.315932675
497,CZWI,-0.315370128
37,AEIS,-0.314815918
245,BNS,-0.314708636
420,COR,-0.314515898
1951,ULH,-0.314401759
353,CHMG,-0.313943061
750,FMBH,-0.313568282
1421,OMAB,-0.313499097
1115,KSM,-0.312978685
442,CRI,-0.312971726
1711,SHW,-0.312903367
1610,REX,-0.312696384
184,BBY,-0.312066468
624,ENSG,-0.311307015
1313,NATH,-0.310170383
1948,UHT,-0.309350483
1024,INTT,-0.308816908
530,DIS,-0.308527088
233,BLK,-0.308062858
86,AMNB,-0.307664238
1330,NFBK,-0.307492397
914,HFBL,-0.305554586
1364,NRT,-0.304839148
1963,UPS,-0.304504355
1082,KALU,-0.30395926
89,AMS,-0.303670927
1754,SNX,-0.303505674
70,ALKS,-0.303374903
598,EGO,-0.303167684
584,EDN,-0.303131549
1424,ON,-0.303050718
201,BEN,-0.302441249
1890,TRC,-0.302184666
499,DAC,-0.302063275
1641,RRC,-0.301862471
1829,TAYD,-0.301435475
383,CLW,-0.301309239
460,CSV,-0.300913674
261,BRT,-0.300761577
1493,PFIS,-0.300675201
296,CAKE,-0.300523208
752,FMN,-0.300174024
1374,NTRS,-0.299984038
1380,NVEC,-0.299357473
314,CBRL,-0.299341675
963,HTH,-0.299101208
1163,LPX,-0.298670501
1109,KOP,-0.29861526
1556,PRG,-0.298306305
1132,LEA,-0.298152436
1194,MATW,-0.297952575
1811,SWKS,-0.297586709
1713,SIEB,-0.297432796
539,DLX,-0.297031421
1060,JCI,-0.296433897
1227,MGEE,-0.295762167
2078,WSM,-0.295601958
292,CADE,-0.295410125
591,EFSC,-0.294879004
986,IBM,-0.294838416
672,EVN,-0.294469426
2003,VLY,-0.29426778
2100,YORW,-0.294079102
375,CLF,-0.293418403
1315,NBH,-0.293359373
1161,LOW,-0.293159289
2028,WAL,-0.293111867
1622,RJF,-0.292698634
489,CXE,-0.292404183
223,BJRI,-0.292278217
1372,NTES,-0.291895662
142,ATRI,-0.291466402
1757,SOHO,-0.29131359
526,DHX,-0.291178117
899,HBM,-0.291004827
671,EVM,-0.290890855
1128,LCII,-0.29006134
540,DMF,-0.289282807
696,FAST,-0.289107216
879,GS,-0.289074852
1955,UNB,-0.288319537
965,HTLD,-0.287559171
1118,KTF,-0.287397466
934,HMY,-0.287295345
156,AVY,-0.287071223
1820,T,-0.286916268
918,HI,-0.286693975
17,ACLS,-0.286495705
926,HIX,-0.286336965
1100,KLAC,-0.285360465
315,CBSH,-0.284872188
975,HWC,-0.283878077
822,GENC,-0.283549683
1567,PSMT,-0.283128905
1825,TAP,-0.282173204
134,ASTE,-0.281792034
1816,SXT,-0.281448058
1282,MSEX,-0.281266294
623,ENS,-0.279646939
21,ACOR,-0.279371171
646,ESCA,-0.278917686
381,CLRO,-0.278738692
661,ETO,-0.277505794
1631,RNST,-0.276800569
1426,OPBK,-0.276556233
206,BFZ,-0.276050972
1488,PFBC,-0.275907278
1688,SEE,-0.275341748
1550,PPG,-0.275337988
1530,PMM,-0.275327962
132,ASML,-0.275180047
901,HCA,-0.274808047
1405,OCFC,-0.274584918
187,BCBP,-0.274519776
768,FORM,-0.274111499
344,CGO,-0.274022196
1648,RVSB,-0.273280715
2057,WKC,-0.273272608
26,ADEA,-0.273266784
1010,IIM,-0.273161491
1119,KWR,-0.27303505
377,CLH,-0.272987607
2108,ZTR,-0.272957792
1695,SF,-0.272560974
1667,SBCF,-0.272064216
1783,SSNC,-0.272023168
1528,PMF,-0.27190529
746,FLS,-0.271702188
565,DVN,-0.271560199
283,BXP,-0.271495504
1579,PZC,-0.271448765
414,COHU,-0.271157699
1351,NNN,-0.271126584
1104,KMT,-0.270966024
1476,PDCO,-0.270518788
1992,VGM,-0.270501098
955,HSIC,-0.270105961
226,BKE,-0.269925998
833,GGT,-0.269628713
1474,PCRX,-0.269523493
327,CCRD,-0.268808899
1875,TM,-0.267664932
1765,SPGI,-0.267522732
475,CVCY,-0.267277985
886,GTN,-0.267179626
717,FDUS,-0.267132342
659,ETJ,-0.267084299
2081,WST,-0.266977653
1529,PML,-0.266801874
1438,OSBC,-0.266752811
1720,SIRI,-0.266657463
1999,VKQ,-0.266448489
1531,PMO,-0.266403939
1923,TWN,-0.266314769
1382,NVMI,-0.266173621
1597,RCMT,-0.266115543
179,BBDC,-0.265871785
589,EFC,-0.265653352
1546,POWI,-0.265369852
1652,RYAAY,-0.26514505
854,GMAB,-0.264781589
1308,MYN,-0.26476078
1135,LEO,-0.264597883
1299,MUI,-0.263785439
1224,MFM,-0.263437907
422,COST,-0.262883915
303,CASH,-0.262747484
544,DORM,-0.26164735
398,CMU,-0.261465741
458,CSQ,-0.26116935
764,FOF,-0.26092668
413,COFS,-0.259629701
626,ENX,-0.259432017
222,BIP,-0.259374551
1817,SYBT,-0.258892634
1536,PNFP,-0.258698024
735,FICO,-0.258593932
748,FLXS,-0.258057758
374,CLDT,-0.257067922
2051,WHR,-0.256822563
122,AROW,-0.256816989
7,AB,-0.25667705
1349,NMT,-0.256632252
1222,MFIC,-0.256468845
1821,TAC,-0.255996126
294,CAG,-0.255572858
1540,PNR,-0.255490972
116,ARE,-0.255293315
1085,KDP,-0.255094908
29,ADP,-0.254993915
795,FUSB,-0.254840331
428,CPG,-0.254631891
621,ENB,-0.254486715
1244,MKTX,-0.254444668
951,HRB,-0.253977046
39,AEM,-0.252930178
1525,PLX,-0.252707424
1285,MSM,-0.251887725
1323,NDSN,-0.251819057
619,EMN,-0.251759299
1698,SFNC,-0.251099592
716,FDS,-0.250763832
1733,SLGN,-0.250645551
1420,OLP,-0.250282597
1721,SITC,-0.250028616
1846,TEO,-0.250024008
1543,PODD,-0.249411135
684,EXP,-0.249127404
1276,MRTN,-0.249124867
205,BFS,-0.24889371
1779,SSB,-0.248884225
22,ACP,-0.248796236
159,AWK,-0.248587673
2031,WBA,-0.24831963
1301,MVF,-0.248045616
1649,RVT,-0.247919521
1737,SLRC,-0.247638283
87,AMP,-0.247450305
1611,RF,-0.247426779
888,GVA,-0.247387494
692,F,-0.247373266
1266,MORN,-0.246842614
2027,WAFD,-0.246475276
103,AOS,-0.245964149
478,CVLG,-0.245751168
145,AU,-0.245390895
152,AVGO,-0.244679559
929,HLIT,-0.244596154
1371,NTAP,-0.244472147
946,HP,-0.24393303
2013,VRSK,-0.243769486
1632,ROCK,-0.243280466
289,CAC,-0.242938928
1835,TCOM,-0.242914933
1639,RPM,-0.242877295
532,DJCO,-0.242595212
760,FNF,-0.242518794
1399,NZF,-0.242049166
1764,SPG,-0.241771744
704,FCAP,-0.241622229
322,CCI,-0.241553765
282,BXMX,-0.240839325
168,AZO,-0.240793011
412,COF,-0.240728633
1650,RVTY,-0.240496437
1284,MSI,-0.240255881
1092,KFFB,-0.239972157
258,BRKL,-0.239673572
279,BX,-0.239617254
724,FFA,-0.239555523
1105,KMX,-0.239349414
737,FITB,-0.23927071
1400,O,-0.238857
1921,TWI,-0.238015621
328,CCRN,-0.237991256
2072,WPP,-0.237702623
331,CE,-0.237070757
1651,RY,-0.236855647
1943,UFPT,-0.236714463
1623,RL,-0.23662236
358,CHTR,-0.236465548
537,DLR,-0.236337532
1258,MNSB,-0.236270399
510,DDS,-0.235554667
1151,LMAT,-0.235503341
384,CLWT,-0.235421205
853,GM,-0.235168286
656,ETB,-0.235112401
1357,NOM,-0.235016904
969,HUBG,-0.234369851
967,HTY,-0.234048803
394,CMPR,-0.23404677
663,ETV,-0.233941802
1795,STLD,-0.233886716
1379,NVDA,-0.233118527
338,CEV,-0.233008335
1771,SPXC,-0.232348306
316,CBT,-0.232099693
667,EVC,-0.23197451
1670,SBH,-0.229921162
90,AMSF,-0.229883925
897,HBAN,-0.229582628
851,GLU,-0.229305413
2015,VRTS,-0.229299731
27,ADI,-0.229258363
1744,SMMF,-0.229126632
1887,TPR,-0.228939607
647,ESE,-0.22890544
1204,MCO,-0.228742624
1841,TECH,-0.228701185
1103,KMI,-0.228637234
443,CRK,-0.228325952
64,ALCO,-0.228227892
1389,NWG,-0.228208032
2046,WFC,-0.227527405
415,COKE,-0.227331312
1660,SANW,-0.227297623
440,CRF,-0.227166969
713,FCX,-0.227118577
271,BUD,-0.226902608
359,CHW,-0.226848365
1333,NGG,-0.226751117
1722,SIX,-0.226538931
238,BME,-0.226533667
800,GABC,-0.226245521
1638,ROST,-0.225902421
365,CIGI,-0.225526134
1034,IRM,-0.22549593
682,EXK,-0.225350074
1656,SAM,-0.224971107
1048,ITW,-0.224788565
1310,NAD,-0.224561616
1987,VC,-0.224363902
2076,WSBF,-0.224068671
456,CSL,-0.224056001
196,BDJ,-0.223838156
96,AN,-0.22359983
574,EBAY,-0.223522043
1745,SMP,-0.223251501
925,HIW,-0.223250033
1176,LXU,-0.222841649
454,CSGS,-0.222622766
1602,RDY,-0.222617122
658,ETG,-0.222489521
655,ET,-0.222065379
1261,MO,-0.221685569
1964,URBN,-0.221651712
2087,WTRG,-0.221477515
1057,JBSS,-0.221010552
1723,SJM,-0.220930755
1674,SBS,-0.220833179
578,EBTC,-0.220786046
432,CPRT,-0.220642438
875,GRMN,-0.219843064
1434,ORCL,-0.219583243
797,FXNC,-0.219528203
572,EAD,-0.219194883
1181,LZB,-0.219028844
816,GDV,-0.218762042
8,ABCB,-0.218745001
513,DENN,-0.218621342
1947,UHS,-0.217905266
1627,RMBS,-0.217845423
1417,OKE,-0.21715651
604,EIM,-0.216320755
48,AGM,-0.216168363
1431,OPY,-0.216138846
1123,LAKE,-0.215967898
912,HEQ,-0.215881101
128,ASG,-0.21583152
1751,SNPS,-0.215754763
1106,KNX,-0.215521299
1388,NWFL,-0.215517976
878,GRX,-0.215429353
801,GAIN,-0.215312521
1748,SNEX,-0.21521923
1876,TMO,-0.214816862
444,CRL,-0.214737869
1303,MWA,-0.214606423
1345,NMFC,-0.214372503
341,CFFI,-0.213946929
154,AVNW,-0.213606058
767,FORD,-0.213092236
5,AAPL,-0.212971768
4,AAP,-0.212788719
602,EHI,-0.212557503
2029,WASH,-0.21254984
1479,PDS,-0.211786731
1064,JHI,-0.211468758
522,DHI,-0.211461805
1350,NNI,-0.210930575
1489,PFC,-0.210861453
1513,PIPR,-0.210847826
580,ECF,-0.210705607
567,DXLG,-0.210662651
732,FHN,-0.210595191
2030,WAT,-0.209995881
676,EVV,-0.209915457
984,IBCP,-0.209898928
962,HTGC,-0.20961812
628,EOS,-0.209444026
1856,TGT,-0.208932855
366,CII,-0.208362564
1694,SEVN,-0.207910266
545,DOV,-0.20772963
1254,MMU,-0.207697724
905,HD,-0.207685335
850,GLRE,-0.207615636
290,CACC,-0.207366795
1624,RLGT,-0.207310982
880,GSBC,-0.207242951
1410,ODP,-0.207115945
1234,MHF,-0.206993209
1516,PKG,-0.206887256
1111,KR,-0.206861889
1904,TS,-0.206333104
2088,WTS,-0.206051677
1495,PFLT,-0.205599323
2022,VVI,-0.205580319
1628,RMD,-0.205535627
1897,TRNO,-0.205209081
1547,POWL,-0.205009704
699,FBIZ,-0.204915303
860,GOGL,-0.204040773
343,CGNX,-0.203127825
1435,ORI,-0.202940775
18,ACM,-0.20277301
88,AMRC,-0.202577495
524,DHR,-0.201857377
1851,TFX,-0.201768283
1993,VGR,-0.201619786
490,CXH,-0.20138886
2096,XOM,-0.201007308
463,CTAS,-0.200821463
293,CAE,-0.200574942
1257,MNRO,-0.200498269
596,EGBN,-0.200470858
633,EPR,-0.200070339
280,BXC,-0.199966612
1406,OCSL,-0.199705263
1029,IP,-0.199288825
569,DY,-0.199113248
2016,VRTX,-0.198759294
1337,NHS,-0.198587612
548,DQ,-0.198503032
649,ESGR,-0.198347339
605,EIX,-0.198248398
1418,OLED,-0.198042348
1872,TKR,-0.197824978
1462,PBA,-0.197646698
367,CIK,-0.197488626
665,ETY,-0.197450203
1640,RPT,-0.197044278
60,AKAM,-0.196802425
677,EW,-0.196594852
1655,SAIA,-0.196549076
2070,WPC,-0.196188445
1102,KMB,-0.196112145
1739,SMBC,-0.196068316
1251,MMS,-0.195925151
6,AAT,-0.19577068
1005,IHG,-0.195759961
1767,SPNS,-0.195727571
972,HURN,-0.195539542
448,CRT,-0.194989975
1170,LTC,-0.19494574
1063,JEQ,-0.194802833
417,COLM,-0.194550715
1580,PZZA,-0.194163542
1392,NX,-0.193560909
1212,MDT,-0.19301836
1019,INFU,-0.192998242
1787,STAG,-0.192943447
105,APA,-0.192299904
1480,PEAK,-0.19213229
1522,PLOW,-0.192118614
1184,MAA,-0.192102924
242,BMRN,-0.192019128
1806,SUI,-0.191996487
228,BKNG,-0.191803861
2032,WBS,-0.191555735
1534,PNC,-0.191295737
813,GDEN,-0.191170158
1065,JHS,-0.191147718
247,BOH,-0.191094237
378,CLM,-0.190411908
627,EOG,-0.190257526
1446,OVV,-0.190033669
1818,SYK,-0.189939474
1386,NWBI,-0.189761243
529,DIOD,-0.189741203
1113,KRG,-0.189428015
2054,WIRE,-0.189404438
441,CRH,-0.189320023
2084,WTFC,-0.189166387
893,HAFC,-0.188815696
576,EBMT,-0.188684092
447,CRS,-0.188525239
1461,PB,-0.187783779
1629,RMT,-0.187461733
1934,UAN,-0.187444162
2040,WELL,-0.187331478
1148,LKFN,-0.187084755
1124,LAMR,-0.187077857
1819,SYY,-0.187039253
388,CMC,-0.186476093
1978,UVE,-0.186432937
1718,SIM,-0.186048199
742,FLEX,-0.18595131
1362,NRIM,-0.18576307
1497,PFS,-0.185630726
2060,WLK,-0.185628063
2063,WMK,-0.18555569
1290,MTCH,-0.184772896
76,AMAT,-0.184602613
1226,MGA,-0.18397367
1152,LMNR,-0.183857587
1210,MDLZ,-0.183667988
278,BWXT,-0.183531102
1885,TOWN,-0.183232998
74,ALV,-0.183003283
697,FAX,-0.182377059
1864,TILE,-0.181887746
790,FUL,-0.181441098
13,ABT,-0.181375199
1995,VICR,-0.180530054
1867,TITN,-0.180404413
28,ADM,-0.180402721
2075,WSBC,-0.180291661
82,AMG,-0.180220418
1973,UTI,-0.180202488
3,AAON,-0.180061007
1112,KRC,-0.179200418
2020,VTR,-0.179189006
1939,UCBI,-0.178976027
991,ICL,-0.178802453
16,ACIW,-0.178726847
977,HXL,-0.178459219
1116,KT,-0.178312418
641,ERC,-0.177859628
730,FFNW,-0.177668427
1966,USA,-0.17721442
966,HTLF,-0.176869491
1726,SKM,-0.176009931
1134,LEN,-0.175839892
1139,LGI,-0.175471799
581,ECL,-0.175469112
631,EPD,-0.17531965
235,BLW,-0.175159173
632,EPM,-0.175081641
1926,TXN,-0.174199485
780,FRST,-0.174097713
1677,SCCO,-0.173833253
1849,TFII,-0.173629522
807,GBDC,-0.173609456
1746,SNA,-0.172619445
535,DLB,-0.172475691
896,HAYN,-0.171886589
1917,TTEK,-0.171506552
255,BR,-0.171393093
1832,TCBI,-0.171270333
1598,RCS,-0.171113786
1177,LYB,-0.170874796
636,EQIX,-0.170872525
1288,MT,-0.170695326
92,AMT,-0.170563982
451,CRWS,-0.170509067
188,BCE,-0.170460102
1014,IMO,-0.170304924
582,ED,-0.170267466
1577,PXD,-0.170102172
120,ARMN,-0.169387159
2079,WSO,-0.169015374
734,FIBK,-0.168974473
1017,INCY,-0.168852929
1906,TSBK,-0.168665293
1541,PNRG,-0.168664332
151,AVD,-0.168525413
552,DRQ,-0.168145416
517,DGICA,-0.167662953
538,DLTR,-0.167568032
1501,PGP,-0.167549473
1772,SPXX,-0.167437918
299,CALX,-0.167408457
347,CHD,-0.166992861
1920,TU,-0.166985018
1587,R,-0.166192459
177,BBAR,-0.166142881
611,ELS,-0.166020084
2012,VRNT,-0.165811953
379,CLMB,-0.165783621
1756,SO,-0.165689761
385,CLX,-0.165685326
786,FTF,-0.165429136
1470,PCK,-0.165202273
1815,SXI,-0.164913215
1945,UGP,-0.164827
1857,THC,-0.164798793
998,IESC,-0.164685204
1681,SCI,-0.164319422
1368,NSP,-0.164012669
1689,SEIC,-0.163818887
947,HPQ,-0.163712881
1954,UMC,-0.163431962
1068,JKHY,-0.163391019
438,CRAI,-0.163375796
401,CNI,-0.16299824
382,CLS,-0.162711962
1763,SPE,-0.162438734
317,CBU,-0.162408859
55,AIN,-0.162349489
1157,LNW,-0.162293968
630,EPC,-0.16226612
496,CZNC,-0.162199161
606,EL,-0.161986684
1208,MD,-0.161630185
1741,SMCI,-0.161312971
1893,TRI,-0.16130599
1237,MHO,-0.161184456
363,CIF,-0.161064064
1220,MFD,-0.161017232
1732,SLF,-0.160625754
24,ADBE,-0.160447743
308,CATY,-0.160442507
1186,MAIN,-0.160139925
547,DPZ,-0.160024185
839,GIL,-0.159941074
1457,PAM,-0.159895784
643,ERIE,-0.159457266
1527,PM,-0.159208625
1336,NHI,-0.159062639
1260,MNTX,-0.158892307
1614,RGEN,-0.158773646
125,ARW,-0.158717436
1040,IT,-0.158709525
305,CASY,-0.158487897
691,EZPW,-0.158477892
138,ATLC,-0.158330623
1584,QQQX,-0.158325076
119,ARLP,-0.158008799
1953,UMBF,-0.157789109
1149,LKQ,-0.157562559
681,EXG,-0.157501972
1275,MRO,-0.157295536
1384,NVR,-0.157257749
1619,RHP,-0.157223909
741,FLC,-0.157208058
1346,NMI,-0.156929442
1868,TJX,-0.156496806
501,DAKT,-0.156086945
845,GLAD,-0.15608541
123,ARTNA,-0.156029702
32,ADX,-0.155973287
262,BRW,-0.155670575
259,BRKR,-0.155615457
195,BDC,-0.155458718
1782,SSL,-0.155346713
1552,PPL,-0.155234523
1894,TRMB,-0.155040577
355,CHRW,-0.154942515
2,AAME,-0.154890118
541,DMLP,-0.154696629
931,HMC,-0.154064154
818,GEF,-0.153887388
1098,KIM,-0.153836641
618,EML,-0.153566253
1322,NDAQ,-0.152965974
721,FELE,-0.152956636
873,GRF,-0.152820552
1836,TD,-0.152815578
803,GASS,-0.152740001
229,BKR,-0.152733383
