,Stock,trailingPE,sharesOutstanding
184,AZO,19.84165,17291900.0
185,MSCI,39.523975,79091200.0
186,AFL,10.203084,578478976.0
187,COR,25.241829,200854000.0
188,DXCM,90.03847,385515008.0
189,NUE,10.31,245839008.0
190,HUM,18.346,120653000.0
191,MCHP,19.067757,540387968.0
192,GM,5.2868853,1154429952.0
193,STZ,28.254925,182796000.0
194,KHC,15.069265,1213100032.0
195,URI,18.417162,67191600.0
196,SRE,16.31713,629328000.0
197,TEL,13.53612,308799008.0
198,HES,33.131695,307159008.0
199,LEN,10.941006,247163008.0
200,PAYX,27.417778,359822016.0
201,O,39.64394,831948992.0
202,KDP,22.605839,1398339968.0
203,DLR,45.406666,311608000.0
204,BK,13.7875,759344000.0
205,WMB,12.802239,1216499968.0
206,ALL,,262496992.0
207,CNC,15.907071,534484000.0
208,LVS,34.53125,753620992.0
209,CEG,25.174665,319382016.0
210,OKE,13.233456,582550976.0
211,AEP,18.658257,525876000.0
212,AMP,18.76415,100200000.0
213,KMB,22.748077,336883008.0
214,FAST,34.772278,572233024.0
215,LHX,32.91615,189540000.0
216,SYY,19.437653,497830016.0
217,IQV,32.684933,181500000.0
218,HSY,21.099337,149884992.0
219,AME,30.66843,230799008.0
220,CTVA,42.153847,701782976.0
221,A,32.18138,293040000.0
222,PRU,15.916914,361000000.0
223,NEM,,1152489984.0
224,DOW,67.65854,702292992.0
225,CTSH,18.289785,497841984.0
226,GEHC,28.296051,455356992.0
227,D,15.235881,836796992.0
228,JCI,21.137547,681497024.0
229,KVUE,21.166666,1915000064.0
230,KMI,16.14151,2222769920.0
231,OTIS,26.914454,405455008.0
232,FIS,,592483968.0
233,YUM,24.112904,281000000.0
234,EA,35.83879,267350000.0
235,CMI,51.84436,141856992.0
236,GPN,35.594166,257984992.0
237,VRSK,45.909943,144987008.0
238,GIS,15.596107,567889984.0
239,BIIB,27.488081,145360992.0
240,IT,40.488266,77967904.0
241,PCG,19.10465,2543510016.0
242,MPWR,83.39041,48028000.0
243,IR,47.089474,403347008.0
244,ON,16.0818,427328992.0
245,EXC,16.23721,995436992.0
246,MRNA,,381284000.0
247,CSGP,82.22222,408363008.0
248,PPG,26.525234,235255008.0
249,KR,18.536964,719422976.0
250,MLM,27.929125,61807200.0
251,NDAQ,26.644232,576964992.0
252,XEL,18.401869,551816000.0
253,CDW,29.835598,133960000.0
254,FICO,71.42396,24852100.0
255,ROK,26.665396,114592000.0
256,VMC,36.089108,132873000.0
257,EFX,58.788155,123300000.0
258,LYB,13.97711,324361984.0
259,DLTR,27.153406,217872000.0
260,ACGL,7.410499,373300000.0
261,ED,12.110957,345510016.0
262,PWR,45.083157,145284992.0
263,VICI,12.253112,1034529984.0
264,HAL,12.092466,890102016.0
265,WST,45.8872,73989696.0
266,EXR,26.761816,211278000.0
267,RCL,18.36867,256424000.0
268,DG,16.283085,219496992.0
269,XYL,44.369175,241600000.0
270,FANG,10.171202,178058000.0
271,PEG,10.657754,498313984.0
272,BKR,15.26178,1000880000.0
273,DD,62.79816,417583008.0
274,ANSS,59.53971,86917200.0
275,FTV,34.69959,350700000.0
276,ADM,7.4617524,533380992.0
277,HPQ,8.766871,990902016.0
278,WTW,27.84237,102538000.0
279,BF.B,,
280,KEYS,26.26396,174668992.0
281,DFS,9.812611,250058000.0
282,GLW,46.92647,853473984.0
283,HIG,11.676286,298500000.0
284,DVN,7.403748,640700032.0
285,CBRE,29.565077,304792992.0
286,RMD,29.8281,147088992.0
287,TTWO,,170586000.0
288,ZBH,25.555326,208980992.0
289,DAL,5.5955367,643324032.0
290,MTD,33.113216,21478700.0
291,TSCO,23.41485,108114000.0
292,ULTA,21.60333,48561500.0
293,CAH,41.44841,243232992.0
294,EIX,20.65732,383568992.0
295,AVB,27.04122,142015008.0
296,WEC,18.5,315435008.0
297,TROW,14.02835,223900000.0
298,WAB,29.642382,177028992.0
299,WY,28.686958,729753024.0
300,RJF,14.829787,209028000.0
301,CHD,32.059017,243776992.0
302,WBD,,2438569984.0
303,HWM,34.32787,410304000.0
304,NVR,15.949092,3194880.0
305,AWK,25.065306,194755008.0
306,GRMN,22.504604,191331008.0
307,APTV,7.5996146,279036000.0
308,BR,34.48084,117772000.0
309,SBAC,45.45055,107887000.0
310,FITB,10.537267,681124992.0
311,ALGN,53.144577,76589104.0
312,BLDR,15.379916,123347000.0
313,BRO,27.111477,284598016.0
314,MOH,21.413647,58400000.0
315,STT,12.991039,301944000.0
316,MTB,8.753798,166148992.0
317,DOV,21.470745,139896992.0
318,EBAY,8.724899,519000000.0
319,EQR,28.183096,379553984.0
320,PHM,8.656143,212112000.0
321,JBHT,30.416666,103220000.0
322,ILMN,,158800000.0
323,STE,40.63796,98814000.0
324,DTE,15.946746,206452992.0
325,FE,19.07653,574441024.0
326,PTC,89.99495,119552000.0
327,ROL,46.123596,483884992.0
328,ETR,14.430836,211472992.0
329,WRB,16.358416,256544992.0
330,ARE,220.88887,174944000.0
331,LYV,62.166668,230324992.0
332,VLTO,25.320587,246400000.0
333,IFF,1353.1667,255279008.0
334,BAX,,507827008.0
335,GPC,15.319399,139567008.0
336,HPE,9.694806,1300000000.0
337,TDY,23.365406,47184700.0
338,INVH,38.47059,611958016.0
339,IRM,72.31915,291990016.0
340,STLD,8.424863,161816000.0
341,VRSN,24.587341,100900000.0
342,AXON,136.9543,74933800.0
343,DRI,19.692122,119411000.0
344,TRGP,26.48634,223155008.0
345,LUV,44.644737,596665024.0
346,FLT,20.577272,72204096.0
347,WBA,33.30303,862376000.0
348,CBOE,26.183731,105582000.0
349,CCL,,1119449984.0
350,PPL,26.64,737603008.0
351,ES,,349687008.0
352,AKAM,31.019888,151000000.0
353,LH,50.032333,83900000.0
354,HUBB,25.579473,53627000.0
355,PEAK,30.642857,547172992.0
356,BALL,27.84305,315300992.0
357,CLX,239.76192,124106000.0
358,WAT,30.028624,59127000.0
359,COO,251.35811,49685300.0
360,PFG,12.370943,236400000.0
361,K,24.653334,342520000.0
362,NTAP,26.453703,206031008.0
363,STX,,209511008.0
364,WDC,,325860000.0
365,EXPE,25.422932,130765000.0
366,CTRA,8.539792,752192000.0
367,EXPD,23.250937,145388992.0
368,TSN,,287000000.0
369,HBAN,10.379032,1448320000.0
370,TYL,113.65464,42124200.0
371,J,26.299463,125651000.0
372,VTR,,402462016.0
373,AEE,15.761906,262944992.0
374,FDS,37.02908,38086400.0
375,JBL,23.514431,127546000.0
376,MKC,26.25,251440992.0
377,ENPH,42.676376,135759008.0
378,CNP,22.126984,631224000.0
379,HOLX,34.971565,234732000.0
380,CINF,9.593482,157000000.0
381,ATO,18.202875,150840000.0
382,RF,8.758294,924000000.0
383,IEX,28.97707,75625504.0
384,TXT,18.750547,192854000.0
385,OMC,12.664255,197992992.0
386,SWKS,18.362831,160226000.0
387,EPAM,44.252483,57787000.0
388,FSLR,35.43454,106844000.0
389,NTRS,15.738189,205126000.0
390,AVY,33.68226,80531296.0
391,CMS,19.026579,294444000.0
392,CE,8.121505,108855000.0
393,MAS,18.199005,219764992.0
394,SYF,7.6223507,406844000.0
395,BBY,12.737478,215396000.0
396,L,11.818759,222200992.0
397,HRL,19.993103,546840000.0
398,MGM,14.275168,326550016.0
399,LDOS,85.99305,135779008.0
400,TER,37.45055,152879008.0
401,EG,6.1128283,43390400.0
402,POOL,27.923576,38679200.0
403,NDSN,31.250889,57115500.0
404,PKG,19.808964,89624304.0
405,CF,9.872935,188200000.0
406,NWS,68.525,191074000.0
407,CFG,10.083067,466417984.0
408,NWSA,65.6,377897984.0
409,DPZ,28.893835,34881000.0
410,ESS,37.183254,64203000.0
411,BEN,14.352632,526558016.0
412,MAA,27.424627,116716000.0
413,DGX,16.555408,111435000.0
414,LW,13.129702,144372000.0
415,EQT,8.22275,440427008.0
416,VTRS,8.649007,1199670016.0
417,FOXA,17.80117,239295008.0
418,FOX,16.34503,235580992.0
419,SNA,14.245202,52713500.0
420,UAL,5.3219266,328015008.0
421,ALB,9.175899,117403000.0
422,SWK,,153311008.0
423,GEN,9.665158,636910016.0
424,HST,18.780952,705436992.0
425,SJM,12409.0,106144000.0
426,TRMB,48.232002,248768000.0
427,PODD,111.05232,69827600.0
428,TAP,14.221969,198600000.0
429,KIM,19.245098,672321984.0
430,ZBRA,48.073296,51381400.0
431,CAG,13.27317,478004992.0
432,AMCR,20.545454,1445340032.0
433,MRO,8.501818,585246976.0
434,KEY,15.988636,936563968.0
435,BG,7.0959754,145288000.0
436,LKQ,14.016808,267598000.0
437,INCY,21.871696,224526000.0
438,RVTY,71.15277,123407000.0
439,JKHY,33.75342,72867696.0
440,CPB,15.700757,298100000.0
441,PNR,19.978666,165299008.0
442,LNT,17.392086,256096992.0
443,IP,41.627907,346016992.0
444,IPG,11.385965,383004000.0
445,KMX,22.964855,157920992.0
446,AOS,21.704605,121308000.0
447,GL,12.46574,94118704.0
448,WYNN,16.634493,112946000.0
449,JNPR,38.863155,321907008.0
450,TFX,29.330606,46992700.0
451,ALLE,20.95253,87787600.0
452,UDR,26.925373,329015008.0
453,NRG,,225764000.0
454,RL,20.481314,39044300.0
455,CRL,26.597178,51349800.0
456,NI,17.266666,413415008.0
457,EVRG,16.902027,229720992.0
458,DAY,,
459,AES,,669628992.0
460,REG,29.808825,184580992.0
461,PAYC,32.45238,56556600.0
462,TECH,51.517986,157192000.0
463,QRVO,,96548496.0
464,WRK,,256967008.0
465,FFIV,23.805485,58806200.0
466,HII,16.691452,39590700.0
467,DVA,16.471699,87317000.0
468,CTLT,,180738000.0
469,BXP,55.66942,156940992.0
470,UHS,17.033613,61006800.0
471,BBWI,14.458599,225940992.0
472,CPT,25.98919,108742000.0
473,MTCH,16.632744,275772992.0
474,MOS,7.734177,326835008.0
475,TPR,11.564232,229366000.0
476,EMN,11.373833,117344000.0
477,HSIC,22.381657,129938000.0
478,AAL,12.099174,654273024.0
479,CZR,12.960365,215711008.0
480,BIO,,24059400.0
481,ETSY,31.0,119746000.0
482,APA,6.301397,301552992.0
483,PARA,,610702976.0
484,AIZ,14.537239,51977600.0
485,CHRW,26.5625,116651000.0
486,RHI,20.83505,105895000.0
487,MKTX,31.930027,37905400.0
488,FRT,35.864285,82989904.0
489,GNRC,35.865444,60137800.0
490,PNW,16.210024,113398000.0
491,BWA,11.337037,229780000.0
492,MHK,,63682200.0
493,IVZ,,449553984.0
494,HAS,,138764000.0
495,XRAY,,211860000.0
496,NCLH,,425424992.0
497,CMA,7.81677,131898000.0
498,VFC,,388816000.0
499,FMC,4.627763,124759000.0
500,WHR,12.403669,54643800.0
501,ZION,9.342528,148152992.0
